Time (ns),Voltage (V)
8141565,0.0028992584002197333
8162045,0.0028992584002197333
8182525,0.0028992584002197333
8203005,0.0028992584002197333
8223485,0.0028992584002197333
8243965,0.0028992584002197333
8264445,0.0028992584002197333
8284925,0.0028992584002197333
8305405,0.0028992584002197333
8325885,0.0028992584002197333
8346365,0.0028992584002197333
8366845,4.653767509994812
8387325,4.653767509994812
8407805,4.653767509994812
8428285,4.653767509994812
8448765,4.653767509994812
8469245,-0.04104739524521622
8489725,0.0028992584002197333
8510205,0.0028992584002197333
8530685,0.0028992584002197333
8551165,0.0028992584002197333
8571645,0.0028992584002197333
8592125,0.0028992584002197333
8612605,0.0028992584002197333
8633085,0.0028992584002197333
8653565,0.0028992584002197333
8674045,0.0028992584002197333
8694525,4.653767509994812
8715005,4.653767509994812
8735485,4.653767509994812
8755965,4.653767509994812
8776445,4.653767509994812
8796925,0.0028992584002197333
8817405,0.0028992584002197333
8837885,0.0028992584002197333
8858365,0.0028992584002197333
8878845,0.0028992584002197333
8899325,4.653767509994812
8919805,4.653767509994812
8940285,4.653767509994812
8960765,4.653767509994812
8981245,4.653767509994812
9001725,0.0028992584002197333
9022205,0.0028992584002197333
9042685,0.0028992584002197333
9063165,0.0028992584002197333
9083645,0.0028992584002197333
9104125,0.0028992584002197333
9124605,0.0028992584002197333
9145085,0.0028992584002197333
9165565,0.0028992584002197333
9186045,0.0028992584002197333
9206525,0.0028992584002197333
9227005,0.0028992584002197333
9247485,0.0028992584002197333
9267965,0.0028992584002197333
9288445,0.0028992584002197333
9308925,0.0028992584002197333
9329405,0.0028992584002197333
9349885,0.0028992584002197333
9370365,0.0028992584002197333
9390845,0.0028992584002197333
9411325,4.653767509994812
9431805,4.653767509994812
9452285,4.653767509994812
9472765,4.653767509994812
9493245,4.653767509994812
9513725,4.653767509994812
9534205,4.653767509994812
9554685,4.653767509994812
9575165,4.653767509994812
9595645,4.653767509994812
9616125,4.653767509994812
9636605,4.653767509994812
9657085,4.653767509994812
9677565,4.653767509994812
9698045,4.653767509994812
9718525,4.653767509994812
9739005,4.653767509994812
9759485,4.653767509994812
9779965,4.653767509994812
9800445,4.653767509994812
9820925,4.653767509994812
9841405,4.653767509994812
9861885,4.6975615710928675
9882365,4.653767509994812
9902845,4.653767509994812
9923325,4.653767509994812
9943805,4.653767509994812
9964285,4.653767509994812
9984765,4.653767509994812
10005245,4.653767509994812
10025725,4.653767509994812
10046205,4.653767509994812
10066685,4.609820856349376
10087165,4.653767509994812
10107645,4.6975615710928675
10128125,4.653767509994812
10148605,4.653767509994812
10169085,4.653767509994812
10189565,4.653767509994812
10210045,4.653767509994812
10230525,4.653767509994812
10251005,4.653767509994812
10271485,4.653767509994812
10291965,4.6975615710928675
10312445,4.653767509994812
10332925,4.653767509994812
10353405,4.653767509994812
10373885,4.653767509994812
10394365,4.653767509994812
10414845,4.609820856349376
10435325,4.653767509994812
10455805,4.653767509994812
10476285,4.653767509994812
10496765,4.653767509994812
10517245,4.653767509994812
10537725,4.6975615710928675
10558205,4.653767509994812
10578685,4.653767509994812
10599165,4.6975615710928675
10619645,4.6975615710928675
10640125,4.6975615710928675
10660605,4.653767509994812
10681085,4.653767509994812
10701565,4.653767509994812
10722045,4.653767509994812
10742525,4.653767509994812
10763005,4.653767509994812
10783485,4.653767509994812
10803965,4.653767509994812
10824445,4.653767509994812
10844925,4.653767509994812
10865405,4.6975615710928675
10885885,4.653767509994812
10906365,4.653767509994812
10926845,4.653767509994812
10947325,4.653767509994812
10967805,4.653767509994812
10988285,4.653767509994812
11008765,4.6975615710928675
11029245,4.653767509994812
11049725,4.653767509994812
11070205,4.653767509994812
11090685,4.653767509994812
11111165,4.653767509994812
11131645,4.653767509994812
11152125,4.6975615710928675
11172605,4.653767509994812
11193085,4.653767509994812
11213565,4.653767509994812
11234045,4.653767509994812
11254525,4.653767509994812
11275005,4.653767509994812
11295485,4.653767509994812
11315965,4.653767509994812
11336445,4.653767509994812
11356925,4.653767509994812
11377405,4.653767509994812
11397885,4.653767509994812
11418365,4.653767509994812
11438845,4.653767509994812
11459325,4.653767509994812
11479805,4.653767509994812
11500285,4.653767509994812
11520765,4.653767509994812
11541245,4.653767509994812
11561725,4.653767509994812
11582205,4.653767509994812
11602685,4.653767509994812
11623165,4.653767509994812
11643645,4.653767509994812
11664125,4.653767509994812
11684605,4.653767509994812
11705085,4.653767509994812
11725565,4.653767509994812
11746045,4.653767509994812
11766525,4.653767509994812
11787005,4.653767509994812
11807485,4.653767509994812
11827965,4.653767509994812
11848445,4.653767509994812
11868925,4.653767509994812
11889405,4.653767509994812
11909885,4.653767509994812
11930365,4.653767509994812
11950845,4.653767509994812
11971325,4.653767509994812
11991805,4.653767509994812
12012285,4.6975615710928675
12032765,4.653767509994812
12053245,4.653767509994812
12073725,4.653767509994812
12094205,4.653767509994812
12114685,4.609820856349376
12135165,4.653767509994812
12155645,4.653767509994812
12176125,4.653767509994812
12196605,4.653767509994812
12217085,4.653767509994812
12237565,4.6975615710928675
12258045,4.653767509994812
12278525,4.653767509994812
12299005,4.653767509994812
12319485,4.653767509994812
12339965,4.653767509994812
12360445,4.653767509994812
12380925,4.653767509994812
12401405,4.6975615710928675
12421885,4.653767509994812
12442365,4.653767509994812
12462845,4.653767509994812
12483325,4.653767509994812
12503805,4.653767509994812
12524285,4.653767509994812
12544765,4.653767509994812
12565245,4.6975615710928675
12585725,4.653767509994812
12606205,4.653767509994812
12626685,4.653767509994812
12647165,4.653767509994812
12667645,4.653767509994812
12688125,4.653767509994812
12708605,4.653767509994812
12729085,4.653767509994812
12749565,4.6975615710928675
12770045,4.653767509994812
12790525,4.653767509994812
12811005,4.653767509994812
12831485,4.653767509994812
12851965,4.653767509994812
12872445,4.653767509994812
12892925,4.653767509994812
12913405,4.653767509994812
12933885,4.653767509994812
12954365,4.609820856349376
12974845,4.653767509994812
