mean_one,std_one,std_zero,var_one,var_zero,skew_one,skew_zero,kurt_one,kurt_zero,rms_one,rms_zero,en_one,en_zero,max_one,max_zero,min_one,min_zero,mse_one,cos_one,cos_zero,msg_size,label
4.9997444838,0.0078054761,0.0128103159,0.0000609255,0.0001641042,-51.8724940220,-49.0098817612,3007.2978858034,3183.4692105479,4.9997505766,0.0129855176,24.9975058284,0.0001686237,5.0000000000,0.1783806879,4.5220801416,-0.8308410645,0.0000609907,0.9999987814,0.1637135937,small,C
4.9999147563,0.0029420165,0.0186554410,0.0000086555,0.0003480255,-38.4964419301,35.9373359946,1559.8845654875,2609.1380875218,4.9999156218,0.0187389307,24.9991562254,0.0003511475,5.0000000000,1.1435285501,4.8730430006,-0.5236816406,0.0000086627,0.9999998269,0.0942919691,small,B
4.9995752789,0.0196038356,0.0097383890,0.0003843104,0.0000948362,-67.8665764545,-3.3585968284,4684.5981402840,21.2906825439,4.9996137130,0.0097751794,24.9961372793,0.0000955541,5.0000000000,0.1344340342,3.6445204016,-0.0848388672,0.0003844908,0.9999923126,0.0866784329,small,A
4.9999595047,0.0028810916,0.4137538591,0.0000083007,0.1711922559,-397.5851985178,-11.9110656935,191309.1124096972,140.0647692095,4.9999603348,0.4149872908,24.9996033495,0.1722144515,5.0000000000,1.5822321238,3.6007263405,-5.0000000000,0.0000083023,0.9999998340,-0.0770428270,medium,C
4.9997841272,0.0128015202,0.0248959638,0.0001638789,0.0006198090,-80.4004185396,79.6862045068,6739.9481765001,7005.3500737580,4.9998005158,0.0250612650,24.9980051978,0.0006280670,5.0000000000,2.4159978027,3.8200018311,-0.0848388672,0.0001639255,0.9999967222,0.1146658940,medium,C
4.9998243805,0.0045590453,0.0268519457,0.0000207849,0.0007210270,-43.3496237018,48.4714463888,2251.9438678457,2496.3500212324,4.9998264591,0.0269955536,24.9982646211,0.0007287599,5.0000000000,1.4067506943,4.7415082247,-0.0848388672,0.0000208157,0.9999995843,0.1030100647,small,C
4.9997173344,0.0217790638,0.0123841816,0.0004743276,0.0001533680,-87.4700244298,-31.7321311183,7803.3623657755,2717.5465540466,4.9997647696,0.0125677669,24.9976477518,0.0001579488,5.0000000000,0.7486190374,2.8109073153,-0.8308410645,0.0004744075,0.9999905125,0.1702993447,medium,B
4.9999437701,0.0014810079,0.0140994378,0.0000021934,0.0001987941,-26.3004891063,56.8583164197,689.7157272299,3909.3126457699,4.9999439895,0.0143332402,24.9994398979,0.0002054418,5.0000000000,0.9680471206,4.9609363079,-0.0848388672,0.0000021965,0.9999999561,0.1798825084,small,C
4.9997374302,0.0201804215,0.0230271083,0.0004072494,0.0005302477,-102.1024794839,59.7713361709,11196.5332123191,5458.3190051876,4.9997781572,0.0231298301,24.9977816207,0.0005349890,5.0000000000,2.2405163732,2.6354258858,-0.6991577148,0.0004073184,0.9999918543,0.0941406534,medium,B
4.9998473761,0.0024369571,0.0118598023,0.0000059388,0.0001406549,-15.9044424863,-28.0582947493,250.9512907993,1759.0724164968,4.9998479700,0.0120246972,24.9984797228,0.0001445933,5.0000000000,0.3099154637,4.9609363079,-0.6552124023,0.0000059621,0.9999998812,0.1650393672,small,C
4.9997970594,0.0134499327,0.0209175465,0.0001809007,0.0004375438,-115.8420580472,40.6856397640,15223.3071220631,4968.9886963629,4.9998151502,0.0209196458,24.9981515361,0.0004376316,5.0000000000,2.2843104343,3.0741294595,-0.8308410645,0.0001809419,0.9999963817,0.0141664585,medium,A
4.9997344503,0.0167079187,0.0118118721,0.0002791545,0.0001395203,-85.0676152405,99.6793033631,7828.1438305896,13648.9639202567,4.9997623672,0.0120837140,24.9976237284,0.0001460161,5.0000000000,1.7139194922,3.1618701743,-0.0410461426,0.0002792251,0.9999944164,0.2109194302,medium,C
4.9998870877,0.0024244487,0.0100034188,0.0000058780,0.0001000684,-24.6280680212,-51.2579908278,686.6264626667,3321.6304906531,4.9998876755,0.0102816509,24.9988767678,0.0001057123,5.0000000000,0.0466933195,4.9169896542,-0.6552124023,0.0000058907,0.9999998824,0.2310622741,small,C
4.9998867244,0.0140798137,0.0225918201,0.0001982412,0.0005103903,-157.4299312242,53.1598017346,25346.7805190969,4625.4362661354,4.9999065489,0.0227091237,24.9990654975,0.0005157043,5.0000000000,2.1527756584,2.7231666005,-0.5674743652,0.0001982540,0.9999960350,0.1015100193,medium,B
