mean_one,std_one,std_zero,var_one,var_zero,skew_one,skew_zero,kurt_one,kurt_zero,rms_one,rms_zero,en_one,en_zero,max_one,max_zero,min_one,min_zero,mse_one,cos_one,cos_zero,msg_size,char_len,label
3.2998528472,0.0153914215,0.0120861396,0.0002368959,0.0001460748,2.0158938508,-3.0214704901,2.1206970317,7.2504556682,3.2998887419,0.0121066840,10.8892657090,0.0001465718,3.3373516037,0.0466933195,3.2496108890,-0.0410461426,0.0002369175,0.9999891224,-0.0582323866,small,13,D
3.2940212460,0.0116395072,0.0192022815,0.0001354781,0.0003687276,-74.0971018414,21.8489021462,8238.1863104403,1631.4856110418,3.2940418101,0.0195062613,10.8507114469,0.0003804942,3.3812982574,1.5384380627,1.8894009217,-0.0410461426,0.0001712236,0.9999937572,-0.1758537979,medium,44,B
3.2843612507,0.0193959231,0.0265527017,0.0003762018,0.0007050460,-6.4751582179,11.0821884868,458.3435720515,659.8564132188,3.2844185219,0.0319714434,10.7874050272,0.0010221732,3.8639484848,1.6261787774,1.6701254311,-0.6114196777,0.0006207723,0.9999825628,-0.5569991356,large,174,A
3.2985073873,0.0162205943,0.0202131813,0.0002631077,0.0004085727,-12.7722020779,18.0319425167,1374.3548605142,1321.7723998712,3.2985472699,0.0204235740,10.8804140916,0.0004171224,3.8639484848,1.5822321238,1.6701254311,-0.4797363281,0.0002653356,0.9999879090,-0.1431670417,large,174,D
3.2919389705,0.0153083556,0.0276706613,0.0002343458,0.0007656655,-41.0253921121,35.0655073724,2307.9969119459,2119.0930646818,3.2919745642,0.0278615281,10.8370965314,0.0007762647,3.3373516037,1.6261787774,2.4159978027,-0.3919982910,0.0002993259,0.9999891877,-0.1168510491,small,13,A
3.2950816546,0.0082278433,0.0112827376,0.0000676974,0.0001273002,4.6849772913,-3.3422193100,22.6292764961,9.1704299163,3.2950919271,0.0112848580,10.8576308081,0.0001273480,3.3373516037,0.0028992584,3.2496108890,-0.0410461426,0.0000918875,0.9999968825,-0.0193844159,small,13,C
3.3002381400,0.0174050972,0.0232221492,0.0003029374,0.0005392682,-3.5913767441,-1.6656947375,803.5409558798,918.0174288617,3.3002840360,0.0233847719,10.8918747181,0.0005468476,4.3465987121,1.3190099796,1.7139194922,-1.0063171387,0.0003029941,0.9999860933,-0.1177287980,medium,44,D
3.2743702288,0.0217959910,0.0153189532,0.0004750652,0.0002346703,-0.2556445359,2.0565528795,-1.9346458712,2.2294097461,3.2744427710,0.0380458934,10.7219754607,0.0014474900,3.2935575426,0.0028992584,3.2496108890,-0.0410461426,0.0011319504,0.9999778459,-0.9153566284,small,13,E
3.2946440338,0.0083746036,0.0226613972,0.0000701340,0.0005135389,-21.1871480603,37.4027222565,3072.2720621667,2283.5703962954,3.2946546774,0.0226700984,10.8547494434,0.0005139334,3.6445204016,1.5822321238,2.1088290048,-0.3042602539,0.0000988204,0.9999967694,-0.0277035605,medium,44,E
3.2989122537,0.0197868686,0.0117635410,0.0003915202,0.0001383809,0.0757449258,40.5849836363,308.2398988031,2974.2360015189,3.2989715940,0.0119566625,10.8832135780,0.0001429618,3.7762077700,0.8363597522,2.6354258858,-0.2604675293,0.0003927034,0.9999820125,0.1790047637,small,13,B
3.2992469881,0.0166786992,0.0184360826,0.0002781790,0.0003398891,-8.9022043586,18.2094725290,1062.8895426145,1581.8206921618,3.2992891457,0.0185530656,10.8853088672,0.0003442162,3.8200018311,1.5822321238,1.6701254311,-0.5236816406,0.0002787460,0.9999872222,-0.1121199371,large,174,D
3.2954386673,0.0157807786,0.0206378938,0.0002490330,0.0004259227,-4.9428052908,27.6691346166,854.2765112684,1975.5805491035,3.2954764516,0.0208163104,10.8601650431,0.0004333188,3.6884670553,1.6261787774,1.8456068606,-0.1287841797,0.0002698387,0.9999885345,-0.1306466101,medium,44,B
3.2992915466,0.0148009544,0.0050132115,0.0002190683,0.0000251323,2.1713080530,-8.0722908408,2.7812287905,71.1438582335,3.2993247458,0.0055372025,10.8855437780,0.0000306606,3.3373516037,0.0466933195,3.2496108890,-0.0410461426,0.0002195702,0.9999899376,0.4246256766,small,13,F
3.2992776013,0.0173064727,0.0174126079,0.0002995140,0.0003031989,1.7906161445,-1.5973773806,681.6521920858,1255.4618375333,3.2993229918,0.0174934699,10.8855322043,0.0003060215,4.3026520585,1.1874752037,2.4597918638,-0.9623718262,0.0003000359,0.9999862425,-0.0960387958,medium,44,D
3.2934266254,0.0131276630,0.0183469874,0.0001723355,0.0003366119,-68.7930369414,8.1887659845,6319.3670709431,512.4587367026,3.2934527888,0.0188955075,10.8468312722,0.0003570402,3.4690389721,1.0557878353,1.8894009217,-0.1725769043,0.0002155448,0.9999920559,-0.2391977562,medium,44,C
3.2917368784,0.0190944207,0.0226699599,0.0003645969,0.0005139271,4.7522852782,6.2224819565,1900.5014201892,935.6782873570,3.2917922586,0.0234673923,10.8358962736,0.0005507185,4.3026520585,1.5384380627,1.8016602069,-1.0063171387,0.0004328761,0.9999831763,-0.2584689893,large,174,E
3.2948212383,0.0101866534,0.0161327810,0.0001037679,0.0002602666,-46.6347626020,25.4146467642,6649.9224051086,1717.2681658682,3.2948369854,0.0161335031,10.8559507606,0.0002602899,3.7322611164,1.1435285501,1.6701254311,-0.3482055664,0.0001305875,0.9999952207,-0.0094611579,medium,44,E
3.2817810892,0.0232422262,0.0251814220,0.0005402011,0.0006341040,-10.7576175977,8.0675805873,733.1176900230,521.3524645599,3.2818633912,0.0292706790,10.7706273186,0.0008567726,3.8639484848,1.6261787774,1.6701254311,-0.5674743652,0.0008721298,0.9999749222,-0.5097963564,large,174,A
3.2858265427,0.0185493680,0.0263867198,0.0003440791,0.0006962590,-8.6011625824,11.3979582684,645.3364496898,650.6837666375,3.2858789004,0.0304456242,10.7970001479,0.0009269360,3.8639484848,1.6261787774,1.6701254311,-0.5674743652,0.0005449659,0.9999840659,-0.4988584315,large,174,A
3.2976409923,0.0127340600,0.0063653638,0.0001621563,0.0000405179,2.7977849865,-6.4958184041,5.8276008309,41.7611527210,3.2976655789,0.0066641535,10.8745982705,0.0000444109,3.3373516037,0.0466933195,3.2935575426,-0.0410461426,0.0001677212,0.9999925442,0.2960752007,small,13,F
3.2934526807,0.0165279906,0.0176457887,0.0002731745,0.0003113739,-66.7891230678,21.8805709355,5435.1417732713,2122.2251230981,3.2934941528,0.0178878842,10.8471037346,0.0003199764,3.4690389721,1.6261787774,1.7139194922,-0.1725769043,0.0003160419,0.9999874079,-0.1639662557,medium,44,C
3.2942414951,0.0097201849,0.0177217601,0.0000944820,0.0003140608,-29.8581121939,23.4995443836,5734.0496199855,2178.0721659863,3.2942558355,0.0177363884,10.8521215099,0.0003145795,3.9077425459,1.6261787774,1.7578661458,-0.5674743652,0.0001276424,0.9999956468,-0.0406059606,large,174,B
