Time (ms),Voltage (V)
0.376500,0.002899
0.378000,0.046693
0.379500,0.046693
0.381000,0.046693
0.382500,0.046693
0.384000,0.046693
0.385500,0.046693
0.387000,0.046693
0.388500,0.046693
0.390000,0.046693
0.391500,0.046693
0.393000,0.002899
0.394500,0.046693
0.396000,0.046693
0.397500,0.002899
0.399000,0.046693
0.400500,0.046693
0.402000,0.046693
0.403500,0.046693
0.405000,0.046693
0.406500,0.046693
0.408000,0.002899
0.409500,0.046693
0.411000,0.046693
0.412500,0.002899
0.414000,0.002899
0.415500,0.046693
0.417000,0.046693
0.418500,0.046693
0.420000,0.046693
0.421500,0.046693
0.423000,0.046693
0.424500,0.046693
0.426000,0.046693
0.427500,0.002899
0.429000,0.002899
0.430500,0.002899
0.432000,0.046693
0.433500,0.046693
0.435000,0.046693
0.436500,0.046693
0.438000,0.046693
0.439500,0.046693
0.441000,0.046693
0.442500,0.002899
0.444000,0.046693
0.445500,0.046693
0.447000,0.002899
0.448500,0.002899
0.450000,0.002899
0.451500,0.046693
0.453000,0.046693
0.454500,0.046693
0.456000,0.046693
0.457500,0.046693
0.459000,0.046693
0.460500,0.002899
0.462000,0.046693
0.463500,0.046693
0.465000,0.002899
0.466500,0.002899
0.468000,0.002899
0.469500,0.046693
0.471000,0.046693
0.472500,0.002899
0.474000,0.002899
0.475500,0.002899
0.477000,0.046693
0.478500,0.046693
0.480000,0.046693
0.481500,0.046693
0.483000,0.046693
0.484500,0.046693
0.486000,0.046693
0.487500,0.046693
0.489000,0.002899
0.490500,0.046693
0.492000,0.046693
0.493500,0.046693
0.495000,0.046693
0.496500,0.046693
0.498000,0.046693
0.499500,0.046693
0.501000,0.002899
0.502500,0.046693
0.504000,0.002899
0.505500,0.002899
0.507000,0.046693
0.508500,0.046693
0.510000,0.002899
0.511500,0.002899
0.513000,0.046693
0.514500,0.046693
0.516000,0.046693
0.517500,0.046693
0.519000,0.046693
0.520500,0.046693
0.522000,0.046693
0.523500,0.046693
0.525000,0.002899
0.526500,0.046693
0.528000,0.046693
0.529500,0.046693
0.531000,0.002899
0.532500,0.046693
0.534000,0.046693
0.535500,0.046693
0.537000,0.002899
0.538500,0.046693
0.540000,0.046693
0.541500,0.046693
0.543000,0.046693
0.544500,0.046693
0.546000,0.002899
0.547500,0.002899
0.549000,0.046693
0.550500,0.002899
0.552000,0.046693
0.553500,0.046693
0.555000,0.046693
0.556500,0.046693
0.558000,0.046693
0.559500,0.046693
0.561000,0.046693
0.562500,0.046693
0.564000,0.002899
0.565500,0.046693
0.567000,0.046693
0.568500,0.002899
0.570000,0.002899
0.571500,0.046693
0.573000,0.046693
0.574500,0.002899
0.576000,0.046693
0.577500,0.046693
0.579000,0.046693
0.580500,0.046693
0.582000,0.046693
0.583500,0.046693
0.585000,0.046693
0.586500,0.002899
0.588000,0.046693
0.589500,0.046693
0.591000,0.046693
0.592500,0.046693
0.594000,0.046693
0.595500,0.046693
0.597000,0.046693
0.598500,0.046693
0.600000,0.046693
0.601500,0.046693
0.603000,0.046693
0.604500,0.002899
0.606000,0.002899
0.607500,0.046693
0.609000,0.046693
0.610500,0.046693
0.612000,0.002899
0.613500,0.046693
0.615000,0.046693
0.616500,0.046693
0.618000,0.046693
0.619500,0.002899
0.621000,0.046693
0.622500,0.046693
0.624000,0.002899
0.625500,0.002899
0.627000,0.046693
0.628500,0.046693
0.630000,0.002899
0.631500,0.046693
0.633000,0.046693
0.634500,0.046693
0.636000,0.002899
0.637500,0.046693
0.639000,0.046693
0.640500,0.046693
0.642000,0.046693
0.643500,0.002899
0.645000,0.002899
0.646500,0.046693
0.648000,0.046693
0.649500,0.046693
0.651000,0.046693
0.652500,0.046693
0.654000,0.046693
0.655500,0.046693
0.657000,0.046693
0.658500,0.046693
0.660000,0.046693
0.661500,0.002899
0.663000,0.002899
0.664500,0.046693
0.666000,0.046693
0.667500,0.002899
0.669000,0.002899
0.670500,0.046693
0.672000,0.046693
0.673500,0.046693
0.675000,0.046693
0.676500,0.002899
0.678000,0.046693
0.679500,0.046693
0.681000,0.002899
0.682500,0.046693
